title,artist
Flowers,Miley Cyrus
Kill Bill,SZA
As It Was,Harry Styles
Seven,Jung Kook
Ella Baila Sola,Eslabon Armado
Cruel Summer,Taylor Swift
Creepin,Metro Boomin
Calm Down,Rema
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap
Anti-Hero,Taylor Swift
I Wanna Be Yours,Arctic Monkeys
TQG,KAROL G
La Bebe,Yng Lvcas
I'm Good (Blue),David Guetta
Die For You,The Weeknd
un x100to,Grupo Frontera
Unholy,Sam Smith
La Bachata,Manuel Turizo
Boy's a liar Pt. 2,PinkPantheress
Daylight,David Kushner
Another Love,Tom Odell
Starboy,The Weeknd
Yandel 150,Yandel
Cupid - Twin Ver.,FIFTY FIFTY
I Ain't Worried,OneRepublic
Here With Me,d4vd
Last Night,Morgan Wallen
golden hour,JVKE
Until I Found You,Stephen Sanchez
LALA,Myke Towers
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap
Hey Mor,Ozuna
CLASSY 101,Feid
Paint The Town Red,Doja Cat
Sweater Weather,The Neighbourhood
Snooze,SZA
Blank Space,Taylor Swift
Blinding Lights,The Weeknd
WHERE SHE GOES,Bad Bunny
Like Crazy,Jimin
Mockingbird,Eminem
Escapism.,RAYE
vampire,Olivia Rodrigo
PRC,Peso Pluma
See You Again,"Tyler, The Creator"
Me Porto Bonito,Bad Bunny
OMG,NewJeans
AMG,Natanael Cano
Romantic Homicide,d4vd
